variable_name,data_type,n_unique,n_missing,pct_missing,min,max,range,mean,median,std,precision,mode
id,continuous,6329.0,0,0.0,3344,1444333353652565632,1.4443333536525622e+18,6.4278937030958e+17,7.824406189981116e+17,5.6723715115701395e+17,0.0,3344
listing_url,discrete_categorical,6329.0,0,0.0,https://www.airbnb.com/rooms/1000826250389415584,https://www.airbnb.com/rooms/999247664972316947,,,,,,https://www.airbnb.com/rooms/1000826250389415584
scrape_id,discrete_numeric,1.0,0,0.0,20250617145457,20250617145457,0.0,20250617145457.0,20250617145457.0,0.0,0.0,20250617145457
last_scraped,discrete_categorical,1.0,0,0.0,2025-06-17,2025-06-17,,,,,,2025-06-17
source,discrete_categorical,2.0,0,0.0,city scrape,previous scrape,,,,,,city scrape
name,discrete_categorical,6115.0,0,0.0,"""Call Me Stylish"" HUGE Studio in Columbia Hgts!",🏘️❤️Turnkey Happiness in Washington DC/Petworth🔑,,,,,,Upscale and Great Location
description,discrete_categorical,5521.0,73,1.15,"The room is located inside a Row house in NW DC, i...",🚗 Private garage parking spot – rare for DC! 🚆 5-m...,,,,,,"In Central DC’s NoMa neighborhood, this new city-c..."
neighborhood_overview,discrete_categorical,2711.0,2585,40.84,"""Columbia Heights is a vibrant and diverse neighbo...",⭐PROXIMITY⭐ Our neighborhood is safe and convenien...,,,,,,Revel in the ideal apartment in an ideal location....
picture_url,discrete_categorical,6200.0,0,0.0,https://a0.muscache.com/pictures/001e5b70-4436-463...,https://a0.muscache.com/pictures/prohost-api/Hosti...,,,,,,https://a0.muscache.com/pictures/05593349-9f1c-408...
host_id,continuous,3157.0,0,0.0,4617,699735765,699731148.0,180712489.0333386,78194147.0,206528306.61395547,0.0,39930655
host_url,discrete_categorical,3157.0,0,0.0,https://www.airbnb.com/users/show/100083313,https://www.airbnb.com/users/show/99955771,,,,,,https://www.airbnb.com/users/show/39930655
host_name,discrete_categorical,1878.0,3,0.05,A.,Zyhra,,,,,,Sojourn
host_since,discrete_categorical,2241.0,3,0.05,2008-11-25,2025-06-06,,,,,,2015-07-29
host_location,discrete_categorical,136.0,1263,19.96,"Abell, MD","Williamsburg, VA",,,,,,"Washington, DC"
host_about,discrete_categorical,1735.0,2305,36.42,"I enjoy hosting family and friends in Washington, ...",“Hi there! My name is Rahsaan and I've been living...,,,,,,"Hi, I'm Nicole, the co-founder of Sojourn. At Sojo..."
host_response_time,discrete_categorical,4.0,466,7.36,a few days or more,within an hour,,,,,,within an hour
host_response_rate,discrete_categorical,44.0,466,7.36,0%,99%,,,,,,100%
host_acceptance_rate,discrete_categorical,82.0,300,4.74,0%,99%,,,,,,100%
host_is_superhost,discrete_categorical,2.0,119,1.88,f,t,,,,,,f
host_thumbnail_url,discrete_categorical,3085.0,3,0.05,https://a0.muscache.com/defaults/user_pic-50x50.pn...,https://z1.muscache.cn/im/pictures/user/User/origi...,,,,,,https://z0.muscache.cn/im/pictures/user/adc0efa0-2...
host_picture_url,discrete_categorical,3085.0,3,0.05,https://a0.muscache.com/defaults/user_pic-225x225....,https://z1.muscache.cn/im/pictures/user/User/origi...,,,,,,https://z0.muscache.cn/im/pictures/user/adc0efa0-2...
host_neighbourhood,discrete_categorical,190.0,224,3.54,16th Street Heights,Wooten,,,,,,Northwest Washington
host_listings_count,continuous,66.0,3,0.05,1.0,4927.0,4926.0,267.1648751185583,3.0,987.9975146017971,1.0,1.0
host_total_listings_count,continuous,84.0,3,0.05,1.0,9109.0,9108.0,382.55975339867217,4.0,1257.1879263657115,1.0,1.0
host_verifications,discrete_categorical,5.0,3,0.05,"['email', 'phone', 'work_email']",['phone'],,,,,,"['email', 'phone']"
