variable_name,data_type,n_unique,n_missing,pct_missing,min,max,range,mean,median,std,precision,mode
id,continuous,2864.0,0,0.0,155305,1443673378794478395,1.4436733787943232e+18,4.674978839010324e+17,52928415.5,5.249867062588988e+17,0.0,155305
listing_url,discrete_categorical,2864.0,0,0.0,https://www.airbnb.com/rooms/1000762258749813139,https://www.airbnb.com/rooms/999943947740090590,,,,,,https://www.airbnb.com/rooms/1000762258749813139
scrape_id,discrete_numeric,1.0,0,0.0,20250617145515,20250617145515,0.0,20250617145515.0,20250617145515.0,0.0,0.0,20250617145515
last_scraped,discrete_categorical,2.0,0,0.0,2025-06-17,2025-06-27,,,,,,2025-06-17
source,discrete_categorical,2.0,0,0.0,city scrape,previous scrape,,,,,,city scrape
name,discrete_categorical,2854.0,0,0.0,"""Albergue"" Home base for exploring Asheville & WNC",🔥 Tranquil Mountain Cottage in East Asheville ⛰,,,,,,Downtown Gorgeous Garden Homestay: Private Room
description,discrete_categorical,2762.0,50,1.75,"""Rustic Treasure"" is a 10 minute walk from downtow...",🦇 Asheville’s Own Tiny House - Welcome to what is ...,,,,,,We welcome you to Downtown Inn where Asheville is ...
neighborhood_overview,discrete_categorical,1660.0,950,33.17,"""Nestled on a hill, our cozy neighborhood comprise...",📍 The Neighborhood Tucked into one of Asheville’s ...,,,,,,Downtown
picture_url,discrete_categorical,2852.0,0,0.0,https://a0.muscache.com/pictures/0013abfb-8e30-49f...,https://a0.muscache.com/pictures/prohost-api/Hosti...,,,,,,https://a0.muscache.com/pictures/189af2de-ae29-415...
host_id,continuous,1794.0,0,0.0,4134,698473165,698469031.0,168238426.6469972,107756167.0,174158756.1271342,0.0,167186184
host_url,discrete_categorical,1794.0,0,0.0,https://www.airbnb.com/users/show/100023677,https://www.airbnb.com/users/show/99911550,,,,,,https://www.airbnb.com/users/show/167186184
host_name,discrete_categorical,1018.0,0,0.0,Aaron,Zoe,,,,,,Towns
host_since,discrete_categorical,1427.0,0,0.0,2008-11-08,2025-05-30,,,,,,2018-01-11
host_location,discrete_categorical,160.0,430,15.01,"Alden, MN","Zirconia, NC",,,,,,"Asheville, NC"
host_about,discrete_categorical,1122.0,1025,35.79,,“Travel changes you. As you move through this life...,,,,,,Welcome to Yonder Luxury Vacation Rentals! We are ...
host_response_time,discrete_categorical,4.0,442,15.43,a few days or more,within an hour,,,,,,within an hour
host_response_rate,discrete_categorical,20.0,442,15.43,0%,99%,,,,,,100%
host_acceptance_rate,discrete_categorical,55.0,222,7.75,0%,99%,,,,,,100%
host_is_superhost,discrete_categorical,2.0,46,1.61,f,t,,,,,,t
